obligation_id	claim	owning_authority	implementation	positive_evidence	negative_control	mutation_control	gate	status
M0-01	The exact C4 human acceptance is published, and the C4 review is gone from the open human acts.	.review/M0_GOVERNANCE_CLOSEOUT.md	unsupported-boundary: publishing a human acceptance is documentation, not a declared surface; the acceptance itself is the evidence cell below	.review/fcb/current/FIDO_FCB_GOVERNANCE.md:C4-ACCEPT-39ea7e3;.review/fcb/current/FIDO_FCB_HUMAN_ACTS.tsv:M0-REVIEW;.review/fcb/current/FIDO_FCB_INDEX.md:C4 is **ACCEPTED**	tools/human-review-index.py:a live row omitted from the generated view;tools/human-review-index.py:a removed row retained in the generated view	tools/gate-mutation-test.py:the candidate-state rule	Makefile:fcb	closed
M0-02	A008, D-28 and D-29 are installed in every affected FCB authority, and every accepted-amendment banner names A008.	.review/fcb/current/FIDO_FCB_GOVERNANCE.md	unsupported-boundary: a governance decision is prose in an authority, not a declared surface	.review/fcb/current/FIDO_FCB_GOVERNANCE.md:D-28 — A checkpoint blocks only on its accepted contract.;.review/fcb/current/FIDO_FCB_GOVERNANCE.md:D-29 — M0 closes governance after C4 without reopening C4.;.review/fcb/amendments/FCB_AMENDMENT_A008_STRICT_CHECKPOINT_SCOPE_AND_M0_CLOSEOUT.md:FCB-A008-strict-checkpoint-scope-and-M0-closeout;.review/fcb/current/FIDO_FCB_FIXED_POINTS.md:Amendment A008 reopens no fixed point.	tools/fcb-reference-gate.py:an authority that cannot be decoded	tools/gate-mutation-test.py:repository inventory derivation	Makefile:fcb	closed
M0-03	M0 is the sole current work and appears before M1 in every live sequence.	.review/M0_GOVERNANCE_CLOSEOUT.md	unsupported-boundary: a checkpoint sequence is prose in several authorities, not a declared surface	.review/fcb/current/FIDO_FCB_ROADMAP.md:M0 — Governance Closeout;.review/fcb/current/FIDO_FCB_INDEX.md:M0 → M1 → M2 → M3;.review/M_SERIES_PLAN.md:M0 Governance Closeout	tools/fcb-reference-gate.py:the ACTIVE REPAIR row marked reference;tools/fcb-reference-gate.py:NEXT_STEPS names no active repair	tools/gate-mutation-test.py:structural declarations must name an authority	Makefile:fcb	closed
M0-04	One durable M0 review human act exists, carrying no candidate identity and no repair history.	.review/fcb/current/FIDO_FCB_HUMAN_ACTS.tsv	unsupported-boundary: a human act is a canonical data row, not a declared surface	.review/fcb/current/FIDO_FCB_HUMAN_ACTS.tsv:Review the exact M0 candidate named by .review/NEXT_STEPS.md;.review/fcb/current/FIDO_FCB_HUMAN_REVIEW_INDEX.md:Only Rob accepts M0.	tools/human-review-index.py:a candidate SHA copied into an act;tools/human-review-index.py:a SHA-256 content digest stays accepted	tools/gate-mutation-test.py:the boundary protecting content digests	Makefile:fcb	closed
M0-05	The active C4 repair-21 documents and the candidate archaeology are retired to Git history.	.review/M0_GOVERNANCE_CLOSEOUT.md	tools/claim-matrix-gate.py:TSV_REL	.review/NEXT_STEPS.md:No C4 repair artifact remains in the live tree.	tools/fcb-reference-gate.py:a declared path is missing;tools/claim-matrix-gate.py:the matrix itself is deleted	tools/gate-mutation-test.py:live-set declaration closure	Makefile:claims	closed
M0-06	The recorded default of the open implementation question is accepted, the question is deleted, and none remains open.	.review/OPEN_QUESTIONS.md	unsupported-boundary: deleting an answered question leaves no surface to name; its absence is the evidence	.review/OPEN_QUESTIONS.md:There are currently no open implementation questions.;.review/OPEN_QUESTIONS.md:recorded default was accepted	tools/fcb-reference-gate.py:an authority that cannot be read	tools/gate-mutation-test.py:external / repository separation	Makefile:fcb	closed
M0-07	The Human Review Index is regenerated and D-07 holds exactly in both directions.	.review/fcb/current/FIDO_FCB_HUMAN_REVIEW_INDEX.md	tools/human-review-index.py:BANNER	.review/fcb/current/FIDO_FCB_HUMAN_REVIEW_INDEX.md:GENERATED FILE — do not edit by hand.	tools/human-review-index.py:stale extra ROW in the generated view;tools/human-review-index.py:a live row omitted from the generated view	tools/gate-mutation-test.py:the candidate-state rule	Makefile:fcb	closed
M0-08	The D-24 manifest, live-set table, owner markers and authority scan remain exact.	.review/fcb/current/FIDO_FCB_REFERENCES.tsv	tools/fcb-reference-gate.py:check_live_set_closed;tools/fcb-reference-gate.py:check_index_table_roles	tools/fcb-reference-gate.py:canonical fixture passes (working-tree mode);tools/fcb-reference-gate.py:canonical fixture passes (exported snapshot mode)	tools/fcb-reference-gate.py:the live FCB set contains an undeclared regular file;tools/fcb-reference-gate.py:a manifest row whose owner has no marker	tools/gate-mutation-test.py:exact marker token binding;tools/gate-mutation-test.py:duplicate Index table rows	Makefile:fcb	closed
M0-09	Every C4 proof, artifact and generated byte is preserved, with no functional file changed.	.review/M0_GOVERNANCE_CLOSEOUT.md	Makefile:check;Makefile:regen-guard	Dockerfile:generated-artifact	tools/staged-generated-compare.sh:generated-compare	unsupported-boundary: byte identity has no rule to delete; the working-tree and staged compares fail on any drift, which is what running them demonstrates	.githooks/pre-commit:tools/staged-generated-compare.sh;Makefile:tools/staged-generated-compare.sh	closed
M0-10	One M0 candidate is frozen and a separate human M0 review is requested.	.review/REVIEW_REQUEST.md	unsupported-boundary: requesting a review is a state field in an authority, not a declared surface	.review/REVIEW_REQUEST.md:review: Implementation Review;.review/M0_GOVERNANCE_CLOSEOUT.md:Only Rob accepts M0.	tools/claim-matrix-gate.py:review requested while an obligation is still open;tools/claim-matrix-gate.py:a required obligation has no row	tools/gate-mutation-test.py:canonical path parsing	Makefile:claims	closed
