claim_id	claim_text	owner_file	public_surface	fixture_or_client_test	gate	status
R19-A005-NO-UPPER-LOCAL-TYPE-ALIASES	No UpperCamelCase Local Notation remains in any certified Rocq module, and the naming gate rejects the class with non-vacuous controls.	tools/naming-gate.py	check_code;self_test	tools/naming-gate.py:local alias TypedProgram	Makefile:names	closed
R19-ACCEPT-INT16-LOCAL-9	The accepted int16 cause field retains source local 9: exact occurrence, retained work member, exact node key, and the retained cause object.	Makefile	pending: accepted_conversion_at does not exist yet	pending: the occurrence-indexed accepted aggregate does not exist yet	pending: no assumptions line names it yet	open
R19-ACCEPT-INT32-LOCAL-7	The accepted int32 cause field retains source local 7: exact occurrence, retained work member, exact node key, and the retained cause object.	Makefile	pending: accepted_conversion_at does not exist yet	pending: the occurrence-indexed accepted aggregate does not exist yet	pending: no assumptions line names it yet	open
R19-ACCEPT-INT64-LOCAL-5	The accepted int64 cause field retains source local 5: exact occurrence, retained work member, exact node key, and the retained cause object.	Makefile	pending: accepted_conversion_at does not exist yet	pending: the occurrence-indexed accepted aggregate does not exist yet	pending: no assumptions line names it yet	open
R19-ACCEPT-INT8-LOCAL-11	The accepted int8 cause field retains source local 11: exact occurrence, retained work member, exact node key, and the retained cause object.	Makefile	pending: accepted_conversion_at does not exist yet	pending: the occurrence-indexed accepted aggregate does not exist yet	pending: no assumptions line names it yet	open
R19-D24-CORPUS-TO-MANIFEST	Every repository-rooted operational path in the live authority corpus binds to exactly one typed manifest row; an undeclared path injected into a live owner document fails the gate.	Makefile	pending: the corpus scan does not exist yet	pending: the undeclared-path control does not exist yet	pending: the reference gate validates declared rows only	open
R19-D24-MANIFEST-TO-CORPUS	Every manifest row has exactly one FIDO-FCB-REF owner marker bound to its exact declared path.	Makefile	pending: owner_anchor and the markers do not exist yet	pending: the marker controls do not exist yet	pending: the reference gate checks owner readability only	open
R19-GENERATED-BYTES	The generated go.mod and main.go are byte-identical to a pristine build from the same inputs, verified on the working tree and on the exported staged snapshot by one shared comparison.	Makefile	check;regen-guard	Dockerfile:generated-artifact	.githooks/pre-commit:tools/staged-generated-compare.sh;Makefile:tools/staged-generated-compare.sh	closed
R19-NAMING-READ-CONTROL-EXECUTED	The naming-gate unreadable-file control executes under every user including root, fails naming unreadable.md as a read failure, and no skipped control is counted as passed.	tools/naming-gate.py	read_selected;run;self_test	tools/naming-gate.py:a selected file that cannot be read must fail the gate	Makefile:names	closed
R19-NO-WEAKER-CAUSE-PEER	No shape-only cause peer survives beside an exact occurrence theorem, and the weaker consumer-free corollary is deleted together with its gate residue and entered in the naming gate's deleted-surface table.	Makefile	pending: nested_conversion_cause and deep_nested_ok_closure_at are still live	pending: the deleted-surface enforcement entry does not exist yet	pending: both are still gated	open
R19-REJECT-INT16-LOCAL-9	The rejected int16 child-failure field retains source local 9 with its retained cause object.	Makefile	pending: the occurrence-indexed rejected predicate does not exist yet	pending: the rejected aggregate is still shape-only	pending: no assumptions line names it yet	open
R19-REJECT-INT32-LOCAL-7	The rejected int32 child-failure field retains source local 7 with its retained cause object.	Makefile	pending: the occurrence-indexed rejected predicate does not exist yet	pending: the rejected aggregate is still shape-only	pending: no assumptions line names it yet	open
R19-REJECT-INT64-LOCAL-5	The rejected int64 child-failure field retains source local 5 with its retained cause object.	Makefile	pending: the occurrence-indexed rejected predicate does not exist yet	pending: the rejected aggregate is still shape-only	pending: no assumptions line names it yet	open
R19-REJECT-INT8-LOCAL-11	The rejected innermost int8 failure retains source local 11, and the phase, raw and command-ordered diagnostic lists equal the exact singleton InvalidConversion reason whose refs come from that exact retained cause.	Makefile	pending: the occurrence-indexed rejected predicate does not exist yet	pending: the innermost claim does not tie to local 11 yet	pending: no assumptions line names it yet	open
R19-ROOTS-NO-BUILDER	Neither returned-object root fixture recovers its evidence through a prohibited builder: no build_elaboration_core, build_compilation_input, build_expression_phase, Index.index_program, elaborate, program_visit or program_package_refs appears in either root statement or proof.	Compilable.v	deep_nested_compile_fixture;deep_fail_compile_fixture	Compilable.v:deep_nested_program	tools/claim-matrix-gate.py:BUILDER_PROHIBITION	closed
R19-SEAL-COMPILABLE-MODULE-LOADED	Every Compilable constructor-opacity control first proves the module loaded and a public sentinel resolved, then fails naming the hidden component.	Dockerfile	sealed;meta_reject	Dockerfile:sealed F Compilable.compile Compilable.MakeProgram	Dockerfile:meta_reject reachable	closed
R19-SEAL-EMIT-MODULE-LOADED	Every Emit constructor-opacity control first proves Emit loaded and a public sentinel resolved; the controls cannot pass because the module was absent.	Dockerfile	sealed;meta_reject	Dockerfile:sealed Y Emit.Mint.issue Emit.Mint.Issue	Dockerfile:meta_reject omitted-emit	closed
R19-SEAL-SAFE-MODULE-LOADED	Every Safe constructor-opacity control first proves Safe loaded and a public sentinel resolved; the controls cannot pass because the module was absent.	Dockerfile	sealed;meta_reject	Dockerfile:sealed AE Safe.certify Safe.Make	Dockerfile:meta_reject omitted-safe	closed
R19-WHOLE-THEORY-ASSUMPTIONS	Every retained public proof surface is assumption-free and the whole certified theory has an empty assumption closure over constants, inductives and surviving named assumptions.	Makefile	prove	Dockerfile:reject /tmp/tA A	gate/Assumptions.v:Print Assumptions Compilable.deep_nested_compile_fixture.;Dockerfile:whole-certified-theory audit OK	closed
