obligation_id	claim	owning_authority	implementation	positive_evidence	negative_control	mutation_control	gate	status
M3-01	M2 is accepted and M3 is the sole active work.	.review/M3_TOOL_AND_BUILD_ARCHITECTURE_AUDIT.md	pending: established by the M3 audit and the exact M4 plan	pending: established by the M3 audit and the exact M4 plan	pending: established by the M3 audit and the exact M4 plan	unsupported-boundary: M3 audits and plans; it creates no checker, so a mutation control would require inventing machinery this checkpoint exists to avoid	pending: established by the M3 audit and the exact M4 plan	open
M3-02	Every accepted audit unit is recorded with one real job, one owner and one source view.	.review/M3_TOOL_AND_BUILD_ARCHITECTURE_AUDIT.md	pending: established by the M3 audit and the exact M4 plan	pending: established by the M3 audit and the exact M4 plan	pending: established by the M3 audit and the exact M4 plan	unsupported-boundary: M3 audits and plans; it creates no checker, so a mutation control would require inventing machinery this checkpoint exists to avoid	pending: established by the M3 audit and the exact M4 plan	open
M3-03	The exact working-tree, staged-index, Buildx, Dune, proof, e2e and publication graph is documented.	.review/M3_TOOL_AND_BUILD_ARCHITECTURE_AUDIT.md	pending: established by the M3 audit and the exact M4 plan	pending: established by the M3 audit and the exact M4 plan	pending: established by the M3 audit and the exact M4 plan	unsupported-boundary: M3 audits and plans; it creates no checker, so a mutation control would require inventing machinery this checkpoint exists to avoid	pending: established by the M3 audit and the exact M4 plan	open
M3-04	Hot and cold cost explains the dominant current costs, each measured configuration named and never pooled.	.review/M3_TOOL_AND_BUILD_ARCHITECTURE_AUDIT.md	pending: established by the M3 audit and the exact M4 plan	pending: established by the M3 audit and the exact M4 plan	pending: established by the M3 audit and the exact M4 plan	unsupported-boundary: M3 audits and plans; it creates no checker, so a mutation control would require inventing machinery this checkpoint exists to avoid	pending: established by the M3 audit and the exact M4 plan	open
M3-05	Cache invalidation, fan-out, edit frequency and repeated work are analyzed from real sources, each fact naming its ref or range, command, source view and cache condition.	.review/M3_TOOL_AND_BUILD_ARCHITECTURE_AUDIT.md	pending: established by the M3 audit and the exact M4 plan	pending: established by the M3 audit and the exact M4 plan	pending: established by the M3 audit and the exact M4 plan	unsupported-boundary: M3 audits and plans; it creates no checker, so a mutation control would require inventing machinery this checkpoint exists to avoid	pending: established by the M3 audit and the exact M4 plan	open
M3-06	Every retained tool receives one D-30 complexity-fit disposition: KEEP, SIMPLIFY, MERGE, DELETE or MOVE.	.review/M3_TOOL_AND_BUILD_ARCHITECTURE_AUDIT.md	pending: established by the M3 audit and the exact M4 plan	pending: established by the M3 audit and the exact M4 plan	pending: established by the M3 audit and the exact M4 plan	unsupported-boundary: M3 audits and plans; it creates no checker, so a mutation control would require inventing machinery this checkpoint exists to avoid	pending: established by the M3 audit and the exact M4 plan	open
M3-07	Every mandatory stable M3 finding ID ends in exact M4 step IDs or an evidence-backed KEEP / no M4 change.	.review/M3_TOOL_AND_BUILD_ARCHITECTURE_AUDIT.md	pending: established by the M3 audit and the exact M4 plan	pending: established by the M3 audit and the exact M4 plan	pending: established by the M3 audit and the exact M4 plan	unsupported-boundary: M3 audits and plans; it creates no checker, so a mutation control would require inventing machinery this checkpoint exists to avoid	pending: established by the M3 audit and the exact M4 plan	open
M3-08	No working-tree/staged-source distinction or full/partial distinction is collapsed as an optimization.	.review/M3_TOOL_AND_BUILD_ARCHITECTURE_AUDIT.md	pending: established by the M3 audit and the exact M4 plan	pending: established by the M3 audit and the exact M4 plan	pending: established by the M3 audit and the exact M4 plan	unsupported-boundary: M3 audits and plans; it creates no checker, so a mutation control would require inventing machinery this checkpoint exists to avoid	pending: established by the M3 audit and the exact M4 plan	open
M3-09	One exact implementation-ready M4 plan is produced in dependency order.	.review/M3_TOOL_AND_BUILD_ARCHITECTURE_AUDIT.md	pending: established by the M3 audit and the exact M4 plan	pending: established by the M3 audit and the exact M4 plan	pending: established by the M3 audit and the exact M4 plan	unsupported-boundary: M3 audits and plans; it creates no checker, so a mutation control would require inventing machinery this checkpoint exists to avoid	pending: established by the M3 audit and the exact M4 plan	open
M3-10	M3 records an exact current baseline per proposed optimization; the M4 plan names the post-change measurement procedure, rollback boundary and complete preservation gates M4 runs.	.review/M3_TOOL_AND_BUILD_ARCHITECTURE_AUDIT.md	pending: established by the M3 audit and the exact M4 plan	pending: established by the M3 audit and the exact M4 plan	pending: established by the M3 audit and the exact M4 plan	unsupported-boundary: M3 audits and plans; it creates no checker, so a mutation control would require inventing machinery this checkpoint exists to avoid	pending: established by the M3 audit and the exact M4 plan	open
M3-11	M3 changes no production, proof, build, tool, generated, or runtime path.	.review/M3_TOOL_AND_BUILD_ARCHITECTURE_AUDIT.md	pending: established by the M3 audit and the exact M4 plan	pending: established by the M3 audit and the exact M4 plan	pending: established by the M3 audit and the exact M4 plan	unsupported-boundary: M3 audits and plans; it creates no checker, so a mutation control would require inventing machinery this checkpoint exists to avoid	pending: established by the M3 audit and the exact M4 plan	open
M3-12	One exact M3 candidate and documentation-only freeze request human review; M4 remains forbidden.	.review/M3_TOOL_AND_BUILD_ARCHITECTURE_AUDIT.md	pending: established by the M3 audit and the exact M4 plan	pending: established by the M3 audit and the exact M4 plan	pending: established by the M3 audit and the exact M4 plan	unsupported-boundary: M3 audits and plans; it creates no checker, so a mutation control would require inventing machinery this checkpoint exists to avoid	pending: established by the M3 audit and the exact M4 plan	open
